id,woj,public,size,nace,nace_division,vacancies
123010,14,0,Large,G,47,0
106272,06,0,Large,G,47,0
155853,14,1,Large,P,85,0
24218,14,1,Small,E,36,0
56499,30,0,Large,C,31,18
245246,14,0,Large,M,74,0
141420,18,0,Medium,F,42,0
246032,14,1,Medium,P,85,0
180263,14,1,Large,P,85,1
29269,14,0,Large,G,45,16
26837,14,0,Large,J,62,5
248758,14,0,Small,H,52,0
207403,14,0,Small,R,90,0
138999,14,0,Small,J,58,0
22407,14,1,Large,P,85,0
113688,14,1,Large,P,85,1
32819,18,0,Large,C,30,0
257719,14,0,Medium,Q,86,4
137368,14,1,Medium,P,85,0
29270,14,0,Large,K,66,0
78466,14,1,Large,P,85,0
96055,14,0,Large,M,73,0
205324,14,0,Medium,C,13,0
26393,14,0,Large,J,61,0
216184,14,0,Small,L,68,0
26395,14,0,Large,C,29,5
123245,14,0,Large,L,68,0
60847,32,0,Large,L,68,0
26839,14,0,Large,D,35,0
251977,14,0,Small,C,22,0
27791,14,0,Large,I,56,0
176961,14,0,Small,Q,86,0
26840,14,1,Large,O,84,64
3294,02,1,Large,O,84,6
21177,12,1,Large,O,84,10
49647,26,1,Large,O,84,6
58040,30,1,Large,O,84,11
34563,18,1,Large,O,84,0
52545,28,1,Large,O,84,2
27792,14,1,Large,O,84,33
60848,32,1,Large,O,84,4
31303,16,1,Large,O,84,3
36402,20,1,Large,O,84,6
16702,10,1,Large,O,84,9
6364,04,1,Large,O,84,4
39498,22,1,Large,O,84,14
12987,08,1,Large,O,84,4
45846,24,1,Large,O,84,6
10207,06,1,Large,O,84,6
29273,14,1,Large,M,72,0
27794,14,1,Large,P,85,0
26396,14,0,Large,G,45,0
250125,14,0,Medium,I,55,0
24178,14,0,Large,I,55,3
65590,10,0,Large,C,10,0
26398,14,0,Large,M,70,0
253166,14,0,Small,J,62,0
139215,14,0,Small,B,06,0
65592,12,0,Large,I,56,0
27797,14,0,Large,G,47,0
254802,14,0,Small,N,79,0
254739,14,0,Medium,K,64,0
251940,14,0,Small,Q,86,0
247526,14,0,Small,M,69,0
162725,14,0,Medium,D,35,0
189366,04,0,Medium,D,35,0
27079,14,1,Large,C,33,0
25741,14,1,Large,P,85,0
23299,14,0,Large,C,26,0
175933,14,0,Medium,S,96,0
28952,14,0,Large,C,22,1
65593,14,0,Large,G,46,0
206037,14,1,Large,P,85,0
80445,14,0,Large,G,47,0
63232,14,0,Large,G,47,0
24414,14,0,Large,N,81,0
27800,14,0,Large,M,70,0
251029,14,0,Medium,G,46,0
27801,14,0,Large,C,25,0
249341,14,1,Medium,R,93,0
27082,14,1,Large,H,49,64
27083,14,1,Large,N,81,0
14636,10,0,Large,C,31,1
23227,14,0,Large,Q,86,0
24676,14,0,Large,N,80,6
202980,04,0,Small,E,38,0
254392,14,0,Medium,M,69,0
250552,14,0,Small,M,73,0
212508,14,0,Small,D,35,0
247296,14,0,Small,A,01,1
27803,14,0,Large,M,73,0
249452,14,0,Large,G,46,0
256262,02,0,Large,M,69,0
254803,14,0,Medium,J,62,0
254342,14,0,Small,M,73,0
16703,10,0,Large,C,22,5
172902,14,0,Large,C,22,13
134023,10,0,Large,C,22,6
24480,14,0,Large,H,52,0
28376,14,1,Large,F,42,1
58041,30,0,Large,L,68,28
23756,14,1,Large,P,85,0
156683,14,0,Small,J,61,0
29276,14,0,Large,L,68,0
139922,14,0,Large,G,46,0
248529,14,0,Small,K,66,0
24928,14,1,Small,O,84,0
140480,14,0,Large,G,46,0
137942,14,0,Small,D,35,0
181226,14,0,Large,H,49,0
189550,14,0,Large,M,70,0
167119,14,0,Large,F,43,0
26406,14,0,Large,G,46,6
193574,30,0,Large,G,46,7
27804,14,0,Small,D,35,0
172581,14,1,Small,R,93,0
26408,14,0,Large,H,52,210
95974,14,0,Small,E,37,0
248299,14,0,Small,C,16,0
162712,14,0,Small,J,62,0
149190,28,0,Small,A,01,0
24495,14,1,Large,E,37,0
246501,18,0,Small,N,78,0
26409,14,0,Large,K,65,0
243404,14,0,Large,L,68,0
24738,14,1,Large,P,85,0
252760,14,0,Small,N,79,0
162852,14,0,Large,M,73,0
26842,14,1,Large,I,55,0
28545,14,0,Large,F,43,0
139923,14,0,Medium,S,95,0
191101,14,1,Large,P,85,0
139001,14,0,Large,M,71,0
112794,14,0,Large,G,46,9
63291,14,0,Large,N,78,0
255125,14,0,Medium,G,46,0
176604,14,0,Large,N,81,0
113117,14,0,Large,G,47,0
193771,14,0,Small,J,62,0
27085,14,0,Medium,L,68,0
65600,14,1,Large,P,85,0
112268,14,1,Medium,R,93,1
252358,14,0,Medium,F,41,0
27086,14,0,Large,L,68,0
138177,14,1,Large,P,85,0
29525,14,1,Large,R,93,0
257485,02,0,Medium,C,10,4
254921,14,0,Large,M,71,0
29282,14,1,Large,P,85,0
27285,14,1,Large,Q,86,0
57193,30,0,Large,G,47,0
251214,14,0,Medium,H,49,0
136976,14,0,Small,J,62,0
26843,14,0,Large,G,46,414
24930,14,0,Small,K,64,0
27089,14,1,Large,R,93,5
26414,14,0,Large,N,77,0
27090,14,0,Large,M,73,0
22368,14,1,Small,O,84,0
247690,24,0,Medium,G,46,0
256041,14,0,Medium,G,46,0
198823,30,0,Large,N,77,16
26845,14,0,Large,L,68,2
55706,26,0,Large,C,29,0
49169,26,0,Large,C,29,0
26416,14,0,Large,C,10,17
206415,14,0,Large,G,46,0
23476,14,0,Small,E,38,0
193933,14,1,Large,P,85,0
249923,14,1,Medium,P,85,0
24605,14,0,Large,C,28,0
175637,14,1,Large,O,84,0
26417,14,0,Large,H,49,15
26418,14,0,Large,N,79,7
65605,14,0,Large,N,80,0
197644,14,0,Large,G,45,0
123085,14,0,Large,N,81,0
257718,14,0,Large,J,58,0
28547,14,0,Large,N,80,0
23302,14,0,Large,C,20,7
214310,14,0,Small,E,36,0
23721,14,1,Large,E,38,2
243201,14,0,Medium,Q,86,0
111648,14,0,Medium,S,96,0
26420,14,0,Large,N,80,0
247268,14,0,Small,G,46,0
29527,14,0,Large,N,80,0
24398,14,0,Medium,A,01,0
168886,14,0,Small,A,01,0
247649,16,0,Medium,M,69,0
28955,14,0,Large,G,46,0
247295,14,0,Medium,Q,86,0
22092,14,0,Large,C,17,14
27813,14,0,Large,M,73,0
249836,14,0,Small,M,73,0
24456,14,0,Large,G,46,0
29528,14,0,Large,G,47,0
250626,14,0,Small,K,64,0
23441,14,0,Large,S,95,7
257649,14,1,Medium,R,90,1
139991,14,0,Small,J,58,0
